Company/Brand,Sector,Amount,HeadQuarter,Funding Year,Founded,Investor
Wide Mobility Mechatronics,Industrial Automation,0.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Mihuru,"Finance, Internet, Travel",150000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",1100000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",0.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",6000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
PaisaDukan,Financial Services,650000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",0.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",0.0,"Mohali, Punjab, India",2018,2020.0,unknown
Pando,"Logistics, Supply Chain Management",2000000.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
Mintifi,"Financial Services, Lending",2000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Carcrew,"Automotive, Marketplace, Online Portals",2000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
NicheAI,Artificial Intelligence,0.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Ideal Insurance Brokers/ 121Policy.com,Insurance,1000000.0,"Kolkata, West Bengal, India",2018,2020.0,unknown
Loanzen,Financial Services,0.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",650000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Elemential,"Blockchain, Developer Tools, Enterprise Software",1000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",5000000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Yumlane,"Food and Beverage, Food Delivery, Snack Food",4000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",1000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Kaleidofin,Financial Services,2800000.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
Chakr Innovation,Renewable Energy,0.0,"New Delhi, Delhi, India",2018,2020.0,unknown
IndigoLearn,"E-Learning, Education",150000.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Coutloot,"E-Commerce, Fashion, Mobile",1000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Letstrack,"Apps, Messaging, Navigation, Public Safety",1700000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Pooltoo,Transportation,0.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Finzy,"Financial Services, Lending",1300000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Fitternity,"Fitness, Health Care, Wellness",2000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",0.0,"Pune, Maharashtra, India",2018,2020.0,unknown
ONGO Framework,"B2B, Information Services, Information Technology",1000000.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Propshop24,E-Commerce,500000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
myUpchar,"Health Care, Hospital, Wellness",5000000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
ZestMoney,"Big Data, Consumer Lending, FinTech",13400000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",0.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
MyDentistChoice,"Health Care, Medical, Pharmaceutical",500000.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Sattviko,"Food Processing, Retail",0.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",0.0,"New Delhi, Delhi, India",2018,2020.0,unknown
University Living,Education,0.0,"New Delhi, Delhi, India",2018,2020.0,unknown
&ME,"Food and Beverage, Food Processing, Nutrition",0.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Inthree Access,"Consulting, Retail, Social",4000000.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",9000000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Guardian.in,Health Care,0.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",100000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Wimoxez,Internet,20000.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
India Accelerator,"Communities, Coworking, Incubators",0.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
HappyEMI,"Consumer, Financial Services, FinTech",1000000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",0.0,"Azadpur, Delhi, India",2018,2020.0,unknown
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",4000000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Propelld,"Education, Financial Services, FinTech",250000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
PivotRoots,"Advertising, Consulting, Digital Marketing",0.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
ZiffyHomes,"Marketplace, Real Estate, Rental Property",120000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
OckyPocky,"E-Learning, Internet, Video Games",0.0,"Haryana, Haryana, India",2018,2020.0,unknown
WHR,"Health Care, Information Technology",143145.0,"Pune, Maharashtra, India",2018,2020.0,unknown
Asteria Aerospace,Aerospace,0.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
